Emotion,F1_Score,Precision,Recall,Support
gratitude,0.7678619574009168,0.7188288743059061,0.8240740740740741,1728.0
amusement,0.6259414225941423,0.5213754646840149,0.7829727843684577,1433.0
love,0.6111271259729029,0.47597665020206553,0.8534621578099839,1242.0
admiration,0.5439216752787599,0.4211412929037692,0.7677543186180422,2605.0
remorse,0.528688524590164,0.4321608040201005,0.6807387862796834,379.0
neutral,0.4567034935801732,0.5996863360125465,0.3687763713080169,8295.0
fear,0.4440789473684211,0.35386631716906947,0.5960264900662252,453.0
curiosity,0.4402153018069973,0.30492676431424764,0.7912923289564616,1447.0
surprise,0.4264373019465822,0.340072202166065,0.5716019417475728,824.0
anger,0.41804043545878694,0.345679012345679,0.5287175452399685,1271.0
joy,0.4068877551020408,0.33508403361344535,0.5178571428571429,1232.0
sadness,0.40621761658031086,0.3081761006289308,0.5957446808510638,987.0
optimism,0.3822869955156951,0.303245887060916,0.5170583775587566,1319.0
caring,0.3467116357504216,0.25661507738392414,0.5343035343035343,962.0
desire,0.34651898734177217,0.3012379642365887,0.40782122905027934,537.0
confusion,0.3333333333333333,0.23231256599788808,0.5898123324396782,1119.0
disapproval,0.3259229853116316,0.24456359845099793,0.48839976204640095,1681.0
disgust,0.3229516051748922,0.26348709929632524,0.41707920792079206,808.0
excitement,0.30936819172113295,0.2477320307048151,0.41183294663573083,862.0
annoyance,0.3068455452356381,0.23660477453580903,0.436399217221135,2044.0
approval,0.30171769977595214,0.22527881040892192,0.4566691785983421,2654.0
embarrassment,0.28616352201257866,0.33090909090909093,0.2520775623268698,361.0
disappointment,0.27318156579677955,0.20768256648374842,0.39902676399026765,1233.0
pride,0.20610687022900762,0.4909090909090909,0.13043478260869565,207.0
realization,0.2018507807981492,0.16532449076267172,0.25909428359317,1347.0
relief,0.1793478260869565,0.1907514450867052,0.16923076923076924,195.0
nervousness,0.17289719626168223,0.24025974025974026,0.13503649635036497,274.0
grief,0.06185567010309277,0.3333333333333333,0.03409090909090909,88.0
